particle_id,impact_parameter,scattering_angle_sim,scattering_angle_theory,initial_energy,final_energy,relative_energy_error,final_x,final_y,final_vx,final_vy
1,7.041995320606416,0.2805681993087746,0.28212411524493736,0.5049969035226975,0.5049969035226971,8.793899660616486e-16,190.2367188494169,62.14899405275782,0.9608984329388062,0.2769017253451954
2,5.313050021804174,0.37014271919571207,0.3720787145428878,0.5049982366519743,0.5049982366519545,3.913275018412983e-14,184.54062734065175,77.30582278609359,0.9322759131779027,0.36174856166951486
3,7.415228748619333,0.26659964414376214,0.26809776078781045,0.5049965669379272,0.5049965669379217,1.0772534264241739e-14,190.98747713118888,59.84560848695003,0.9646724687734414,0.2634527817819938
4,-6.686345178984888,-0.29529882820167397,-0.2969163412037958,0.5049972081393471,0.5049972081393445,5.276336613657344e-15,189.40440563720128,-64.60428681633798,0.9567153995302263,-0.2910258117198049
5,2.500761069722107,0.7573168341814523,0.7608028590417706,0.5049996091829557,0.504999609182955,1.5389241953968613e-15,143.62235029280333,139.215795458267,0.7266819880427228,0.6869742051964179
6,7.902273401803002,0.2503218448362865,0.25175356683983674,0.5049961016934748,0.5049961016934743,8.793913623507896e-16,191.8183456209691,57.20151799115926,0.9688329781323479,0.2477158452880973
7,-6.983742263420451,-0.28288035228337116,-0.2844459021834762,0.5049969544937938,0.504996954493786,1.5389322852780897e-14,190.1030170288793,-62.531074315441586,0.9602554822585673,-0.2791226856301821
8,7.0965906928190385,0.278434984301391,0.27998203568950625,0.5049968553691343,0.5049968553691244,1.9566428610612345e-14,190.34892778233112,61.79412158875922,0.9614868140705142,0.274851258745567
9,2.9012487109977405,0.660722401285273,0.6638536363328943,0.5049994740052576,0.5049994740052572,6.595391174290201e-16,156.13151823823975,125.0298306630079,0.7895491628832703,0.6136874252270529
10,5.381645058979866,0.36552658739788585,0.367442818782571,0.5049981908509088,0.504998190850903,1.1432040416468008e-14,184.86574987506785,76.51519497695487,0.9339357225427295,0.3574411641527755
11,4.887573431144237,0.4015598635498573,0.40363036995246215,0.5049985076450252,0.5049985076450301,9.673258899577683e-15,182.1892359239608,82.67355255113193,0.9204526609844904,0.3908546937279335
12,-7.702679276660711,-0.2567479302718348,-0.25820573102200517,0.5049962959158887,0.5049962959158776,2.1984775603385286e-14,191.4883926394548,-58.237531392763984,0.9672209153212038,-0.25393643172226776
13,6.426227618528802,0.30708117843546684,0.3087483402702948,0.5049974209717015,0.5049974209716998,3.5175562599552205e-15,188.70279500380843,66.58155488144405,0.9532199564670686,0.3022776595647091
14,-7.259549080074836,-0.27225481408232716,-0.2737762504737724,0.5049967094353944,0.5049967094354039,1.8687043960869845e-14,190.68697454758652,-60.77452246593499,0.9631671590896586,-0.26890392062764734
15,5.340192428671682,0.3683024627408338,0.37023057730228187,0.5049982185990208,0.5049982185990156,1.0332805193282226e-14,184.67250997983223,76.99129834864979,0.932940036958434,0.36003232048699024
16,3.838810820264464,0.5071506600147052,0.5096676978390349,0.5049990792251282,0.5049990792251292,1.97861889905981e-15,172.9694246412681,100.49749896362904,0.8741321333466203,0.4856886268717409
17,-5.966974121969985,-0.33032634263118055,-0.3320921490524887,0.5049977761857245,0.504997776185726,3.0778595625014897e-15,187.2607250710755,-70.51774890406018,0.9459367641508665,-0.32435182053517275
18,-2.078064021304728,-0.8930842453210075,-0.8970174371391021,0.5049997301249716,0.5049997301249647,1.3630468180591996e-14,123.78945620645761,-157.11205892749786,0.6270125021735078,-0.7790094901752102
19,-7.280898791669,-0.27146522928133304,-0.27298340682491423,0.5049966900716402,0.5049966900716367,6.815275117644311e-15,190.7249960310717,-60.64334497604119,0.9633790769682308,-0.26814330570117473
20,-6.365422644572129,-0.30997095361244903,-0.3116503319738502,0.5049974695094716,0.5049974695094811,1.8906863080028303e-14,188.52982425966732,-67.06921388872368,0.9523425049482277,-0.30503099836297703
21,-6.96979866498614,-0.2834394169643746,-0.28500729202440583,0.5049969666317919,0.5049969666317862,1.1432068130144223e-14,190.07783543808193,-62.62567683615614,0.9600994319720542,-0.27965952984344067
22,-4.780275145666733,-0.41033026651595017,-0.41243826935445815,0.504998572422222,0.5049985724222138,1.626866060792974e-14,181.49822301372626,-84.1690785475523,0.9169893080132032,-0.398912279941645
23,-7.882385365812501,-0.25094779488146407,-0.2523820523405818,0.5049961212681002,0.5049961212681042,7.914521954374929e-15,191.78272570539318,-57.3011025044592,0.9686776129970599,-0.2483222076187683
24,-7.562173727460253,-0.2614715264577185,-0.2629486056198265,0.5049964296733461,0.5049964296733452,1.7587815824255194e-15,191.25180290465775,-59.006816144624345,0.9660107437882147,-0.25850237160707645
25,7.062007358991657,0.27978251058206866,0.2813351622909977,0.5049968859149294,0.5049968859149362,1.341069745003202e-14,190.27560442997896,62.0174902669746,0.9611155861290572,0.27614664163918584
